listing_id,listing_type,district,neighbourhood,price,GrossSquareMeters,NetSquareMeters,price_per_m2,rooms,halls,total_rooms,floor,floor_category,total_floors,building_age,building_type,building_condition,heating_type,fuel_type,bathroom_count,furnished,usage_status,is_in_complex,complex_name,maintenance_fee,orientation,credit_eligible,deed_status,exchange,last_updated,scraped_at
27431-11257,satilik,Pendik,Ahmet Yesevi,7800000,120.0,105.0,65000.0,3,1,4,4.0,,13.0,8,Reinforced Concrete,Second-hand,Central (Metered),Natural Gas,2.0,Unfurnished,Owner-occupied,True,Fatih Sultan Kuleleri Sitesi,1750.0,"South, East",Eligible,Condominium Title,No,,2026-03-17 14:03:19
19492-2649,satilik,Pendik,Çamlık,4950000,65.0,55.0,76153.84615384616,1,1,2,3.0,,5.0,16,,,Combi Boiler,,1.0,Furnished,Tenant-occupied,True,Crystal Park Sitesi,4000.0,East,Eligible,Condominium Title,No,,2026-03-17 14:03:30
164465-139,satilik,Pendik,Fevzi Çakmak,6250000,95.0,75.0,65789.47368421052,2,1,3,4.0,,5.0,0,,,Underfloor Heating,,2.0,Unfurnished,Vacant,False,,,,Eligible,Condominium Title,No,,2026-03-17 14:03:39
123658-37,satilik,Pendik,Yenişehir,3625000,45.0,32.0,80555.55555555556,1,0,1,1.0,,8.0,6,,,Central (Metered),,1.0,Furnished,Tenant-occupied,True,Elit Grand Palas,,,Eligible,Construction Easement,No,,2026-03-17 14:03:47
64396-74,satilik,Pendik,Çamçeşme,2680000,100.0,97.0,26800.0,2,1,3,1.0,,3.0,30,Reinforced Concrete,Second-hand,Combi Boiler,Natural Gas,1.0,Unfurnished,Tenant-occupied,False,,100.0,North,Not Eligible,Shared Title,No,,2026-03-17 14:03:54
133233-168,satilik,Pendik,Kaynarca,8150000,117.0,96.0,69658.11965811966,2,1,3,4.0,,18.0,6,,,Combi Boiler,,2.0,Unfurnished,Owner-occupied,True,Mavi Kule Residence,,"South, East",Not Eligible,Foreign Owner,Yes,,2026-03-17 14:04:03
0-46194539,satilik,Pendik,Güzelyalı,7000000,185.0,165.0,37837.83783783784,5,1,6,3.0,,4.0,17,,,Combi Boiler,Natural Gas,2.0,Furnished,Owner-occupied,False,,,"South, East, West",Eligible,Condominium Title,No,,2026-03-17 14:04:12
164429-24,satilik,Pendik,Yenişehir,19800000,220.0,173.0,90000.0,3,1,4,,Villa Floor,6.0,6,,,Combi Boiler,,2.0,,,False,,,,Eligible,No Title Deed,,,2026-03-17 14:04:20
109470-9,satilik,Pendik,Batı,4950000,90.0,80.0,55000.0,2,1,3,2.0,,5.0,26,,,Combi Boiler,,1.0,Unfurnished,Vacant,False,,,"South, East",Eligible,Condominium Title,Yes,,2026-03-17 14:04:29
111062-75,satilik,Pendik,Kavakpınar,3600000,105.0,85.0,34285.71428571428,3,1,4,3.0,,6.0,25,Reinforced Concrete,Second-hand,Combi Boiler,Natural Gas,1.0,Unfurnished,Tenant-occupied,False,,150.0,South,Not Eligible,Land Title,No,,2026-03-17 14:04:38
123475-969,satilik,Pendik,Yayalar,8300000,200.0,175.0,41500.0,4,1,5,4.0,,4.0,16,,,Combi Boiler,,3.0,Unfurnished,Vacant,True,Dumankaya Yenişehir Evleri,,,Eligible,Condominium Title,No,,2026-03-17 14:04:48
159795-19,satilik,Pendik,Yeni,11400000,160.0,140.0,71250.0,3,2,5,5.0,,6.0,4,,Second-hand,Combi Boiler,Natural Gas,2.0,Unfurnished,Tenant-occupied,True,,,,Eligible,Condominium Title,No,,2026-03-17 14:04:56
109495-2391,satilik,Pendik,Doğu,10000000,90.0,80.0,111111.11111111111,3,1,4,1.0,,5.0,2,Reinforced Concrete,Second-hand,Combi Boiler,Natural Gas,2.0,Unfurnished,Tenant-occupied,False,,500.0,West,Eligible,Condominium Title,No,,2026-03-17 14:05:10
156228-98,satilik,Pendik,Yenişehir,7500000,85.0,72.0,88235.29411764706,2,1,3,0.0,Raised Ground,4.0,31,,,Combi Boiler,,1.0,Unfurnished,Tenant-occupied,True,İnci Sitesi,,"South, East",Not Eligible,Condominium Title,No,,2026-03-17 14:05:19
161262-89,satilik,Pendik,Orhangazi,1850000,90.0,77.0,20555.555555555555,2,1,3,3.0,,5.0,26,,,Combi Boiler,,1.0,Unfurnished,Tenant-occupied,False,,,"South, East, West",Not Eligible,Land Title,Yes,,2026-03-17 14:05:27
158114-386,satilik,Pendik,Kaynarca,11600000,125.0,85.0,92800.0,3,1,4,4.0,,19.0,5,,,Central (Metered),,2.0,Unfurnished,Owner-occupied,True,Siltaş Marina,,West,Eligible,Condominium Title,No,,2026-03-17 14:05:38
155606-249,satilik,Pendik,Doğu,18500000,275.0,230.0,67272.72727272728,5,2,7,5.0,,5.0,10,Reinforced Concrete,Second-hand,Combi Boiler,Natural Gas,2.0,Unfurnished,Vacant,False,,1000.0,"South, East",Eligible,Condominium Title,Yes,,2026-03-17 14:05:47
