sub_district,count,avg_price,median_price,avg_ppm2,avg_gross_m2,avg_net_m2
Burhaniye,23,24773913.04347826,25000000,142406.2914502534,178.91304347826087,149.7826086956522
Çubuklu,3,21316666.666666668,25000000,189384.48393711552,116.33333333333333,92.66666666666667
Şahkulu,1,25000000,25000000,166666.66666666666,150,120
Çiğdem,3,26166666.666666668,24750000,145983.9357429719,185.33333333333334,132.33333333333334
Acarlar,19,25717894.736842107,24500000,177400.92812558686,146.1578947368421,125.6842105263158
Bebek,17,29133529.411764707,24000000,210918.71621934057,134.41176470588235,113.47058823529412
Ferahevler,17,26173529.411764707,23975000,149332.08595121512,178.76470588235293,148.76470588235293
Nisbetiye,54,26611481.48148148,23500000,186015.55321527802,151.88888888888889,129.03703703703704
Büyük Çavuşlu,1,23000000,23000000,76666.66666666667,300,205
Başıbüyük,3,19100000,22900000,120068.62901722715,160.33333333333334,133
Güzelce,4,22875000,22250000,59985.77524893315,387.5,317.5
Büyükbakkalköy,1,22000000,22000000,150684.9315068493,146,140
Erenköy,149,23493154.362416107,22000000,173506.1593628848,139.36912751677852,108.84563758389261
Kaptan Paşa,5,18620000,22000000,134507.24637681158,137,130
Riva,3,19666666.666666668,22000000,114462.0840152755,184,152.66666666666666
Suadiye,222,22451914.414414413,21275000,184228.10921274984,123.35585585585585,96.53603603603604
Kültür,4,20875000,21000000,156269.23076923075,133.75,116.25
Zühtüpaşa,13,22534615.384615384,21000000,191150.25234706813,114.46153846153847,88.07692307692308
Arnavutköy,20,22077500,20800000,192615.94367269796,112.9,98.9
Teşvikiye,106,22118198.11320755,20800000,162460.490963811,141.72641509433961,122.9622641509434
Kuloğlu,3,26500000,20500000,183517.316017316,145,133.33333333333334
Emirgan,18,22480555.555555556,20375000,186706.5425350866,118.05555555555556,102.83333333333333
Göztepe,129,19797984.49612403,19650000,146569.18271951156,137.86821705426357,107.85271317829458
Göktürk Merkez,99,21447474.737373736,19250000,142462.020520608,152.96969696969697,120.4040404040404
Zekeriyaköy,29,20335344.827586208,19000000,116017.82727814517,186.24137931034483,159.72413793103448
Maslak,150,19575800,18910000,132760.5032165406,148.65333333333334,113.96
Konaklar,5,19090000,18750000,117406.53280542986,177,123
Bereketzade,1,18500000,18500000,132142.85714285713,140,100
Feneryolu,34,18972794.11764706,18250000,158609.86929830268,121.20588235294117,93.02941176470588
Çayırbaşı,1,18200000,18200000,140000,130,126
Barbaros,72,19120833.333333332,17950000,132924.95690557448,142.34722222222223,111.47222222222223
Ataköy 3-4-11. Kısım,2,17925000,17925000,140916.6666666667,125,99.5
Müeyyetzade,1,17800000,17800000,148333.33333333334,120,100
Hacımimi,4,17375000,17625000,208217.8070748251,85.5,67.25
Sultantepe,27,21464814.814814813,17500000,177161.30700757168,115.92592592592592,100.77777777777777
Çengelköy,58,19285344.827586208,17500000,136308.33357374792,146.36206896551724,123.32758620689656
Tarabya,30,21193333.333333332,16825000,111869.80359051845,187.63333333333333,150.23333333333332
5. Levent,13,19145000,16500000,121881.16413055778,151.46153846153845,115.6923076923077
Halaskargazi,19,17360526.315789472,16500000,121419.04096864819,147.78947368421052,131.42105263157896
Halil Rıfat Paşa,10,15100000,16350000,99675.16724086933,147.3,119.5
Ataköy 2-5-6. Kısım,12,19166666.666666668,16250000,133363.41436341437,136.25,121.66666666666667
Küçüksu,28,19203571.42857143,16250000,121024.8139824299,166.60714285714286,138.14285714285714
Ataköy 1. Kısım,1,16000000,16000000,72727.27272727272,220,200
Yeniköy,12,18750000,15975000,141453.23467839308,136.5,119.33333333333333
Acıbadem,72,18275972.222222224,15650000,132689.6429618263,143.02777777777777,115.01388888888889
